ID_Empleado,Género,Edad,Cargo,Departamento,Años_Experiencia,Horas_Trabajadas_Semana,Numero_Tareas,Nivel_Estrés,Satisfaccion_Laboral,Evaluacion_Desempeño,Salario_Anual,Bonos,Promociones_Ultimos_5_años,Horas_Formacion_Anual,Cursos_Realizados,Certificaciones,Absentismo_Laboral,Accidentes_Laborales,Rotación_Personal,Rendimiento
30,Femenino,51,Supervisor,Recursos Humanos,21,44,11,1,4,1.9148087381739893,123616,8787,1,20,6,4,12,2,Sí,3.192307692307692
31,Masculino,51,Ingeniero,Operaciones,15,44,14,9,2,3.2456627449351414,106623,5066,3,4,5,0,11,2,No,1.442307692307692
32,Masculino,56,Piloto,Mantenimiento,29,44,9,8,1,2.2263259550224417,58626,8418,2,57,1,3,8,0,Sí,2.9615384615384617
33,Femenino,40,Ingeniero,Finanzas,15,44,3,3,6,1.1668431623553839,58388,3835,3,78,3,4,10,0,No,3.98076923076923
34,Femenino,29,Contador,Operaciones,11,30,10,10,10,2.179488566839142,105643,4912,3,3,2,3,13,1,No,2.634615384615384
35,Femenino,47,Mecánico,Operaciones,29,44,3,4,5,4.619480754387611,114918,6086,0,18,7,0,9,1,No,3.2884615384615383
36,Masculino,61,Piloto,Recursos Humanos,5,44,5,10,3,1.6968926476872843,47725,6294,2,54,1,0,7,0,Sí,1.8269230769230766
37,Femenino,28,Agente de Tráfico,Operaciones,3,30,6,4,1,4.055003519371104,130165,2064,1,60,9,4,10,1,Sí,2.865384615384615
38,Masculino,51,Piloto,Tecnología,17,44,9,2,9,3.8891280240179253,32455,2351,1,71,1,2,12,0,Sí,4.076923076923077
39,Masculino,28,Contador,Servicio al Cliente,5,30,1,10,8,1.4248992642569682,33792,9729,2,23,0,1,4,0,Sí,1.8269230769230766
40,Masculino,24,Supervisor,Servicio al Cliente,6,44,8,5,6,2.3177718583354667,122975,7364,1,67,8,1,7,2,No,4.0576923076923075
41,Masculino,22,Piloto,Mantenimiento,4,44,14,3,6,1.7574251565548398,57727,1364,0,18,2,0,8,0,No,2.884615384615384
42,Masculino,57,Contador,Operaciones,10,30,14,1,4,1.0926007247730847,74838,1084,3,23,7,3,6,0,Sí,2.8076923076923075
43,Femenino,46,Administrador,Tecnología,15,30,4,2,2,1.6921627009435851,68632,266,1,53,6,4,10,2,Sí,3.288461538461538
44,Femenino,58,Asistente de Vuelo,Recursos Humanos,18,30,10,7,4,1.806311766534916,111733,8151,0,20,0,2,9,2,No,2.115384615384615
45,Femenino,22,Administrador,Recursos Humanos,4,44,7,1,2,1.6639209892177136,118911,9462,1,71,5,0,10,2,No,3.3076923076923075
46,Femenino,36,Contador,Finanzas,18,44,6,2,7,1.3643888377492814,117816,8226,0,18,7,3,12,2,No,3.5576923076923075
47,Femenino,58,Analista de Datos,Mantenimiento,30,30,6,10,9,3.1052205288852024,31308,4881,1,74,5,0,14,0,Sí,4.096153846153846
48,Masculino,34,Mecánico,Tecnología,16,30,7,7,2,2.2905561668112258,136435,67,1,52,8,1,2,0,Sí,2.884615384615384
49,Femenino,61,Asistente de Vuelo,Tecnología,23,44,4,1,9,4.632997445632478,46315,188,2,49,9,0,8,0,No,4.269230769230768
50,Femenino,29,Analista de Datos,Recursos Humanos,8,30,6,7,9,1.7488538720777487,70857,4136,2,22,2,3,4,0,No,2.538461538461538
51,Masculino,26,Supervisor,Finanzas,8,30,3,8,8,3.4114505203857846,119717,682,0,36,5,1,10,0,Sí,3.173076923076923
52,Femenino,30,Ingeniero,Recursos Humanos,3,30,5,2,1,4.60248153706257,39893,3138,2,27,9,0,7,0,Sí,2.0769230769230766
53,Masculino,22,Agente de Tráfico,Finanzas,4,30,13,4,5,1.1887586042635316,108233,9523,3,75,3,1,10,2,Sí,3.2692307692307687
54,Femenino,57,Asistente de Vuelo,Servicio al Cliente,8,30,13,7,10,3.065109883755893,98749,3190,2,79,9,4,0,0,Sí,4.23076923076923
55,Masculino,56,Administrador,Tecnología,18,44,14,1,4,2.8026752501247483,138514,852,0,79,2,3,0,2,No,3.9038461538461537
56,Femenino,23,Mecánico,Servicio al Cliente,5,44,13,6,7,4.715114432309636,38438,7353,2,77,7,3,2,2,Sí,3.9615384615384612
57,Femenino,61,Analista de Datos,Recursos Humanos,33,30,2,5,8,3.655059091497447,64992,7237,0,70,6,4,14,0,Sí,4.769230769230768
58,Masculino,44,Contador,Mantenimiento,18,30,3,6,10,2.3966456398081752,98394,8948,3,20,6,3,1,2,No,3.307692307692307
59,Masculino,30,Asistente de Vuelo,Operaciones,12,30,13,8,8,3.846084874032595,113287,1694,0,20,4,3,4,0,Sí,2.884615384615384
60,Masculino,55,Ingeniero,Mantenimiento,33,44,9,1,2,3.330616082855403,58935,9499,0,40,0,0,10,1,Sí,3.1538461538461537
61,Masculino,35,Contador,Mantenimiento,16,44,6,3,3,2.3886795921392183,107991,2595,3,34,5,2,8,2,No,2.7884615384615383
62,Masculino,25,Analista de Datos,Operaciones,7,44,3,9,10,4.140994711341552,133448,5467,3,0,5,0,12,1,No,2.365384615384615
63,Masculino,51,Mecánico,Tecnología,16,44,2,8,10,3.672679039225457,79854,1218,0,77,2,4,8,2,Sí,4.019230769230768
64,Masculino,52,Piloto,Servicio al Cliente,1,44,5,4,7,1.0216651933698788,105651,5899,1,66,4,4,7,0,Sí,3.307692307692307
65,Masculino,59,Ingeniero,Servicio al Cliente,0,30,10,10,4,4.460538424043951,80702,8675,1,69,8,2,4,0,Sí,2.5961538461538463
66,Femenino,32,Contador,Tecnología,9,44,14,9,6,2.5883675288845214,85823,4683,0,3,6,0,2,0,Sí,1.7115384615384612
67,Femenino,56,Ingeniero,Operaciones,4,30,5,7,8,3.5817904023492844,113253,7447,2,0,7,0,5,0,Sí,1.9038461538461537
68,Masculino,29,Supervisor,Finanzas,11,30,1,2,8,2.5870732838876735,93102,8000,0,20,8,0,7,2,Sí,2.9999999999999996
69,Femenino,24,Contador,Mantenimiento,6,30,3,1,7,4.525448176935601,128058,7759,0,51,5,1,5,0,No,4.192307692307692
70,Femenino,35,Asistente de Vuelo,Recursos Humanos,8,44,7,1,2,3.6033417847560645,126283,9313,2,52,4,1,6,1,Sí,2.7307692307692304
71,Femenino,34,Piloto,Servicio al Cliente,16,30,9,3,2,3.317544836401159,80950,281,3,79,9,0,11,2,Sí,3.961538461538461
72,Femenino,53,Piloto,Tecnología,14,30,5,10,3,4.921059000410191,82607,8821,0,55,4,1,13,1,Sí,2.442307692307692
73,Masculino,55,Agente de Tráfico,Recursos Humanos,15,44,4,2,4,2.122562080242604,98901,2466,1,72,4,0,11,0,No,3.4615384615384612
74,Femenino,40,Ingeniero,Operaciones,12,30,3,4,1,1.2610171624464979,137159,4175,3,65,3,4,12,0,Sí,2.9615384615384612
75,Masculino,59,Administrador,Recursos Humanos,24,44,10,8,5,3.064041731624578,81779,4921,3,66,1,0,6,0,Sí,3.173076923076923
76,Femenino,37,Piloto,Recursos Humanos,19,44,13,5,7,2.696071335263758,64852,6556,0,32,6,1,14,2,Sí,3.5384615384615383
77,Femenino,23,Piloto,Mantenimiento,5,30,9,5,10,2.8171601963081803,91986,2381,1,22,6,2,6,1,Sí,2.884615384615384
78,Femenino,61,Supervisor,Operaciones,3,30,14,6,5,3.4804193531429375,124853,2936,2,5,7,4,8,0,Sí,1.9999999999999998
79,Masculino,38,Supervisor,Recursos Humanos,20,30,7,5,7,3.460486546415357,100509,9543,2,46,7,3,8,0,No,4.019230769230769
80,Femenino,55,Supervisor,Servicio al Cliente,9,30,12,5,5,2.569057173326124,75427,6906,2,57,7,2,0,0,Sí,3.1538461538461537
81,Masculino,62,Ingeniero,Operaciones,29,30,7,7,10,4.451508095850219,141327,7313,1,4,8,2,2,2,Sí,3.3846153846153846
82,Femenino,37,Contador,Servicio al Cliente,6,44,14,6,8,3.605834037948662,142237,9028,3,76,5,3,4,2,Sí,3.634615384615384
83,Masculino,59,Mecánico,Tecnología,34,44,13,10,7,4.5596467164346715,146837,6139,3,76,3,4,10,0,No,4.25
84,Femenino,23,Administrador,Tecnología,5,30,8,2,1,4.652615620409783,66194,3449,0,8,1,3,3,1,No,2.25
85,Masculino,23,Piloto,Finanzas,5,44,10,1,1,1.6692483034434171,85989,7574,3,2,4,4,11,0,No,2.3076923076923075
86,Masculino,47,Agente de Tráfico,Tecnología,29,30,1,1,5,3.722247495564241,46863,3001,3,60,5,4,0,2,Sí,4.403846153846153
87,Femenino,34,Administrador,Recursos Humanos,16,30,11,4,2,2.270047455350571,57533,5999,2,63,6,4,0,0,Sí,3.711538461538461
88,Masculino,52,Contador,Operaciones,25,30,4,2,9,4.345716218193917,115650,5074,2,45,5,2,12,1,No,4.115384615384615
89,Femenino,55,Administrador,Tecnología,34,44,13,6,2,3.9314063186220207,85511,8624,2,55,3,4,3,2,No,3.5769230769230766
90,Femenino,60,Piloto,Servicio al Cliente,34,30,13,9,9,1.7949907501034121,119062,5548,3,38,3,3,4,1,Sí,3.7499999999999996
91,Femenino,24,Administrador,Recursos Humanos,6,30,5,10,10,4.754923066012882,111546,4347,0,12,6,2,3,1,No,2.4999999999999996
92,Femenino,29,Mecánico,Tecnología,11,44,5,10,2,3.733916027969694,146038,6119,3,40,0,4,1,0,Sí,2.730769230769231
93,Femenino,44,Administrador,Mantenimiento,13,30,1,8,4,4.794532412950326,107740,7050,0,10,2,1,4,2,Sí,1.692307692307692
94,Femenino,35,Piloto,Servicio al Cliente,17,44,3,4,3,1.807644688773634,55275,5942,3,40,9,1,9,2,Sí,3.596153846153846
95,Femenino,48,Piloto,Servicio al Cliente,23,30,2,2,6,4.478820377594536,65415,8412,1,74,1,4,2,2,Sí,4.173076923076923
96,Femenino,50,Administrador,Finanzas,14,30,12,1,4,3.6722912816625413,51750,4655,3,46,1,1,6,1,Sí,2.903846153846154
97,Femenino,60,Ingeniero,Mantenimiento,30,44,7,7,9,3.2091463751305844,67876,5177,1,48,6,0,3,2,Sí,3.884615384615384
98,Femenino,60,Agente de Tráfico,Finanzas,16,30,13,10,9,4.282051599444156,64489,3808,0,64,4,2,1,1,No,3.4615384615384612
99,Femenino,22,Analista de Datos,Tecnología,4,44,14,3,10,3.5314555473828393,98695,7816,3,34,2,0,10,2,No,3.0769230769230766
100,Masculino,38,Supervisor,Mantenimiento,20,30,5,6,9,3.678400642208419,112253,7874,3,34,8,2,7,0,No,3.615384615384615
101,Masculino,62,Analista de Datos,Servicio al Cliente,22,44,3,5,3,2.0146823370243636,38855,5837,0,66,8,3,12,1,Sí,3.730769230769231
102,Femenino,51,Contador,Finanzas,25,44,11,5,3,4.268214754525165,120890,779,2,3,2,1,9,0,No,2.134615384615384
103,Femenino,34,Contador,Recursos Humanos,13,44,8,2,4,3.6012108093092583,96759,2262,2,23,1,1,1,0,No,2.346153846153846
104,Femenino,42,Piloto,Mantenimiento,11,30,1,9,9,4.377556714803205,98990,7885,1,35,2,1,10,0,Sí,2.596153846153846
105,Femenino,40,Contador,Servicio al Cliente,3,30,1,4,6,2.406107862173535,74459,4731,3,76,8,4,6,0,No,3.6923076923076916
106,Femenino,40,Ingeniero,Operaciones,12,44,14,10,9,2.326840489622892,76414,1039,2,55,7,2,7,1,No,3.3076923076923075
107,Femenino,46,Agente de Tráfico,Mantenimiento,17,44,6,1,8,1.0956118583938568,127257,7955,0,3,2,4,9,2,Sí,2.9423076923076916
108,Femenino,43,Contador,Mantenimiento,25,44,1,2,7,4.074421307178061,57073,7566,0,39,3,1,2,1,Sí,3.6538461538461537
109,Femenino,52,Mecánico,Tecnología,18,44,4,9,5,2.3212575483670066,85511,2280,3,42,4,3,5,0,No,2.8076923076923075
110,Masculino,38,Agente de Tráfico,Recursos Humanos,2,30,6,7,9,2.3088492388233077,71900,9995,1,57,3,1,11,0,Sí,2.884615384615384
111,Femenino,44,Ingeniero,Tecnología,18,30,1,10,4,3.7547380618990784,130937,1388,0,61,1,4,3,2,Sí,2.884615384615385
112,Masculino,53,Analista de Datos,Mantenimiento,19,44,13,2,4,2.011475907091177,53199,7081,3,6,8,1,11,0,No,2.6538461538461537
113,Femenino,31,Agente de Tráfico,Mantenimiento,13,44,9,7,8,4.636081946396544,84526,7162,1,8,1,0,1,1,Sí,2.4807692307692304
114,Femenino,31,Agente de Tráfico,Recursos Humanos,10,44,4,4,4,3.152263965020867,62272,8119,2,21,4,0,7,1,Sí,2.134615384615384
115,Masculino,57,Analista de Datos,Recursos Humanos,16,30,9,10,7,4.877908944181453,129320,3508,3,3,8,4,1,1,No,2.4423076923076916
116,Femenino,29,Ingeniero,Finanzas,11,30,9,2,4,1.3066753783578169,141096,2118,1,35,7,0,8,1,No,3.6538461538461533
117,Masculino,41,Contador,Servicio al Cliente,13,30,13,4,1,2.3473014705828117,67301,1582,0,69,0,2,8,0,No,2.75
118,Femenino,53,Piloto,Servicio al Cliente,18,44,6,5,10,2.5258813736575836,140217,7892,2,66,2,2,10,2,Sí,3.961538461538461
119,Femenino,35,Analista de Datos,Finanzas,2,44,13,4,9,3.921682880322319,93957,3445,0,34,9,4,7,1,Sí,3.2499999999999996
120,Masculino,49,Analista de Datos,Servicio al Cliente,31,30,7,3,4,1.851849031722455,30005,8649,0,32,8,0,9,0,No,3.5384615384615383
121,Femenino,45,Analista de Datos,Mantenimiento,21,44,13,6,3,2.5013834135302844,73226,2818,2,6,2,2,2,1,No,2.038461538461538
122,Masculino,36,Analista de Datos,Finanzas,18,30,1,1,3,4.642570175830366,132291,676,3,54,3,0,7,2,No,3.442307692307692
123,Femenino,43,Contador,Finanzas,20,30,5,8,9,1.458203534756116,60208,9605,3,46,2,1,4,0,Sí,3.2307692307692304
124,Masculino,51,Administrador,Servicio al Cliente,30,30,3,5,8,3.981296002634664,53103,6363,3,61,6,0,14,1,No,4.173076923076923
125,Masculino,25,Administrador,Operaciones,7,44,10,8,10,3.8099404465098776,148480,9097,0,66,8,0,9,2,No,4.23076923076923
126,Femenino,34,Asistente de Vuelo,Servicio al Cliente,1,30,10,10,7,1.5220203063764361,104240,5387,0,63,3,4,13,0,Sí,2.730769230769231
127,Femenino,44,Analista de Datos,Tecnología,8,44,13,4,7,3.753962749474302,149652,5749,3,42,8,1,4,0,Sí,3.1153846153846154
128,Masculino,29,Analista de Datos,Operaciones,11,44,6,4,4,3.279135157235639,41452,6336,3,17,1,2,1,1,No,2.346153846153846
129,Femenino,39,Agente de Tráfico,Finanzas,9,30,4,5,3,2.1500893485763393,129278,111,2,2,1,2,11,0,Sí,1.519230769230769
130,Femenino,33,Administrador,Operaciones,6,44,13,5,4,2.2445647802102116,43558,3379,0,58,8,0,2,0,No,2.846153846153846
131,Femenino,52,Contador,Mantenimiento,3,44,14,6,6,4.331969101343049,41008,3873,1,61,6,3,7,1,No,3.057692307692307
132,Masculino,35,Piloto,Recursos Humanos,14,44,13,5,4,1.924059945064887,71936,7507,3,38,4,3,13,1,Sí,2.7692307692307687
133,Masculino,55,Asistente de Vuelo,Operaciones,11,44,9,5,4,3.0511221177106975,81885,3151,3,63,4,2,0,0,Sí,3.0576923076923075
134,Masculino,39,Asistente de Vuelo,Tecnología,5,44,7,8,2,3.7245989492127873,96156,7645,0,72,8,0,3,1,No,2.615384615384615
135,Masculino,55,Contador,Recursos Humanos,8,44,14,6,7,1.5196067773474167,62315,5606,3,59,3,0,5,1,Sí,2.9230769230769234
136,Masculino,32,Piloto,Mantenimiento,14,30,4,2,6,4.729415484865258,75610,1944,3,41,0,1,8,0,Sí,3.6730769230769234
137,Masculino,62,Agente de Tráfico,Tecnología,7,30,13,4,2,2.042537260113542,37595,2500,0,4,5,4,7,1,No,1.8269230769230766
138,Masculino,33,Supervisor,Recursos Humanos,6,44,11,4,5,2.2753396920128726,108373,8604,3,45,2,3,9,2,Sí,2.6730769230769225
139,Masculino,36,Administrador,Mantenimiento,3,44,6,5,6,3.6644629524370296,93850,2651,2,3,1,0,4,0,Sí,1.4999999999999998
140,Masculino,52,Analista de Datos,Recursos Humanos,12,44,2,6,5,1.3127665885445339,140337,8377,1,13,3,2,12,0,No,2.115384615384615
141,Femenino,50,Contador,Recursos Humanos,18,30,14,5,4,3.5104507596744665,38785,9768,0,10,8,3,13,2,No,2.6153846153846154
142,Masculino,47,Administrador,Servicio al Cliente,6,30,3,6,9,4.664119840743002,137915,3158,2,59,7,4,6,1,Sí,3.615384615384615
143,Femenino,39,Analista de Datos,Tecnología,9,30,11,8,3,1.996362221205699,101388,7391,0,21,6,0,7,1,Sí,1.7884615384615383
144,Femenino,53,Supervisor,Tecnología,24,30,7,4,2,2.447630907138411,40134,4077,0,4,1,3,11,1,No,2.173076923076923
145,Femenino,43,Supervisor,Operaciones,25,30,11,3,9,1.929335830085031,38814,50,0,52,0,0,8,0,No,4.076923076923077
146,Masculino,59,Ingeniero,Tecnología,24,30,12,9,8,4.275074995651736,107576,1169,1,11,6,4,13,1,Sí,2.98076923076923
147,Masculino,38,Supervisor,Tecnología,20,30,4,3,9,1.6704312940178654,53687,7612,2,20,9,1,2,1,No,3.8269230769230766
148,Masculino,44,Administrador,Recursos Humanos,11,30,14,8,10,2.386512941743428,34529,5403,1,78,4,3,10,0,Sí,3.884615384615384
149,Masculino,45,Mecánico,Finanzas,11,44,12,10,3,3.4040872857005464,66687,8227,0,23,7,4,7,0,No,2.115384615384615
150,Femenino,29,Mecánico,Servicio al Cliente,5,44,10,5,1,2.618217730663997,136813,8468,3,12,4,1,14,1,No,1.423076923076923
151,Masculino,62,Analista de Datos,Operaciones,9,44,7,9,1,1.2618772580283122,147270,5815,1,25,9,1,2,2,Sí,1.8076923076923075
152,Masculino,27,Analista de Datos,Servicio al Cliente,1,30,9,3,3,4.790882670460371,97060,7153,3,39,4,4,0,0,Sí,2.4038461538461533
153,Masculino,26,Ingeniero,Operaciones,8,30,14,10,4,2.3516017670342655,144012,6325,0,25,7,2,12,2,No,2.6153846153846154
154,Masculino,50,Mecánico,Mantenimiento,6,30,13,10,2,2.7826048510591113,69994,6614,3,44,8,4,12,2,Sí,2.269230769230769
155,Masculino,49,Analista de Datos,Recursos Humanos,22,44,5,8,8,1.6701813408134631,61497,5931,1,29,1,0,3,0,Sí,2.730769230769231
156,Femenino,32,Supervisor,Tecnología,10,44,14,7,3,4.461400956183693,93627,888,2,63,7,2,6,2,Sí,2.9230769230769234
157,Masculino,22,Analista de Datos,Tecnología,4,30,1,7,4,2.1657151514584463,144621,403,3,72,6,1,8,1,Sí,3.5384615384615383
158,Femenino,62,Asistente de Vuelo,Finanzas,6,44,5,10,6,1.0792921735978491,112812,7976,1,37,7,3,9,2,Sí,2.4615384615384612
159,Masculino,40,Ingeniero,Servicio al Cliente,22,44,6,9,10,2.2656103303516684,38819,3985,2,17,2,1,6,1,No,2.9423076923076925
160,Femenino,30,Contador,Servicio al Cliente,12,30,14,8,6,4.936238738131584,117243,9364,0,8,3,3,9,0,Sí,2.0576923076923075
161,Masculino,48,Piloto,Servicio al Cliente,16,44,11,3,2,1.5873714912599808,75213,6549,2,55,6,3,10,1,Sí,3.2115384615384612
162,Masculino,55,Agente de Tráfico,Tecnología,31,44,2,6,6,1.1248099519541097,92793,6146,0,37,4,4,13,0,Sí,3.634615384615384
163,Femenino,25,Piloto,Servicio al Cliente,7,30,8,6,4,3.3127023609159307,131325,5128,1,20,6,4,13,2,Sí,2.9615384615384612
164,Femenino,57,Piloto,Recursos Humanos,21,44,13,5,5,2.4866661858700323,60915,2587,1,70,5,1,13,0,Sí,3.6730769230769225
165,Femenino,39,Contador,Operaciones,12,30,2,3,7,4.179901196841806,146142,289,2,11,3,4,4,1,Sí,2.692307692307692
166,Masculino,36,Analista de Datos,Tecnología,11,30,14,9,7,3.9275510554349014,90115,2228,1,35,1,1,12,0,Sí,2.3076923076923075
167,Femenino,34,Piloto,Recursos Humanos,6,44,9,7,6,1.7416761123993063,30552,9775,1,10,5,4,14,2,No,2.134615384615384
168,Masculino,40,Asistente de Vuelo,Mantenimiento,0,30,14,4,10,3.258529220620399,109718,9861,0,66,5,4,0,2,Sí,3.6730769230769225
169,Masculino,27,Agente de Tráfico,Recursos Humanos,9,30,13,6,6,1.1297440298243395,140086,5411,1,26,5,3,0,1,No,3.4423076923076916
170,Femenino,33,Piloto,Recursos Humanos,13,44,2,5,6,2.757912912537908,43149,647,3,62,0,2,11,1,Sí,3.115384615384615
171,Femenino,58,Mecánico,Mantenimiento,16,30,3,1,4,3.85621288787343,127139,3154,0,70,5,4,8,0,Sí,3.9038461538461533
172,Masculino,38,Contador,Recursos Humanos,3,44,8,2,3,2.6598351683510804,125848,265,3,65,1,4,3,1,Sí,2.884615384615384
173,Masculino,44,Contador,Operaciones,0,44,11,1,1,1.4718165912806436,89849,3488,2,73,9,1,2,0,Sí,3.0
174,Femenino,47,Contador,Tecnología,23,44,6,9,3,1.2461343479574163,45155,2778,3,66,4,3,10,1,Sí,3.2307692307692304
175,Femenino,50,Ingeniero,Finanzas,32,30,1,9,3,4.414637799124707,105813,4956,1,64,6,3,4,2,Sí,3.6923076923076916
176,Femenino,54,Ingeniero,Mantenimiento,33,30,4,5,9,4.5653078397964535,128979,8210,2,33,9,2,6,2,Sí,4.192307692307692
177,Masculino,48,Supervisor,Tecnología,23,30,5,8,3,2.372369924871199,136064,4466,1,76,0,2,6,1,Sí,3.192307692307692
178,Masculino,46,Administrador,Servicio al Cliente,14,30,14,10,8,1.6566892985230117,110212,7552,2,77,4,2,14,0,No,3.519230769230769
179,Masculino,31,Agente de Tráfico,Operaciones,13,44,11,4,8,4.914464852496884,39785,3827,2,33,8,4,4,2,Sí,3.596153846153846
180,Masculino,44,Analista de Datos,Finanzas,12,30,3,1,3,3.1834552144048422,50781,642,0,63,2,1,7,0,No,3.0961538461538463
181,Masculino,42,Piloto,Operaciones,6,30,1,4,10,2.9066201748632983,122794,9737,3,16,1,0,4,2,No,2.4038461538461537
182,Masculino,42,Administrador,Operaciones,8,44,3,7,10,3.9664309895731162,41970,816,1,50,9,1,9,1,No,3.442307692307692
183,Femenino,62,Analista de Datos,Servicio al Cliente,34,44,13,2,6,1.6754773576854465,98800,2191,2,55,1,3,3,1,No,4.153846153846153
184,Masculino,34,Administrador,Finanzas,16,44,9,2,8,3.3199588936156434,133297,5926,0,47,2,2,13,1,No,3.75
185,Masculino,58,Analista de Datos,Operaciones,22,30,2,6,8,4.560649425630356,104343,2668,2,61,0,0,5,2,No,3.442307692307692
186,Masculino,54,Asistente de Vuelo,Servicio al Cliente,25,30,1,9,10,1.0922739437514344,60319,9055,3,55,1,3,2,1,No,3.730769230769231
187,Femenino,45,Ingeniero,Mantenimiento,0,30,7,3,10,3.6917588274083943,99763,7559,2,10,5,2,3,1,No,2.5192307692307687
188,Masculino,32,Agente de Tráfico,Servicio al Cliente,13,30,13,7,9,3.205695823005622,56207,3372,3,19,7,0,7,1,Sí,2.7307692307692304
189,Masculino,38,Mecánico,Recursos Humanos,20,30,7,10,9,4.803203137897804,60290,7008,2,67,3,1,9,0,Sí,3.9615384615384612
190,Femenino,25,Asistente de Vuelo,Tecnología,7,30,5,9,8,2.0347940396888555,127747,8720,3,33,1,3,9,1,No,2.4615384615384612
191,Masculino,46,Ingeniero,Servicio al Cliente,0,30,2,9,7,4.435566567705491,117209,4062,1,41,4,4,2,0,Sí,2.403846153846154
